article_name,article_date,source,source_date,url
ChatGPT: Implications for Planning,2023,Newsletter,5/2023,https://www.planning.org/pas/quicknotes/101/chatgpt-implications-for-planning/
Artificial Intelligence and Planning Practice,2022,Newsletter,5/2023,https://www.planning.org/publications/document/9232733/
Foresight Report on AI,2022,Newsletter,5/2023,https://www.planning.org/publications/document/9255930/
Stanford Artificial Intelligence Index Report 2023,2023,Newsletter,5/2023,https://aiindex.stanford.edu/report/
"OECD Report: AI Language Models: Technological, Socio-economic, and Policy Considerations",2022,Newsletter,5/2023,https://www.oecd-ilibrary.org/science-and-technology/ai-language-models_13d38f92-en
Augmented: Planners in an Era of Generative AI,2023,Newsletter,5/2023,https://planning.org/blog/9269515/augmented-planners-in-an-era-of-generative-ai/
Humans are Biased.  Generative AI is Even Worse,2023,Newsletter,6/2023,https://www.bloomberg.com/graphics/2023-generative-ai-bias/
Artificial Intelligence in America's Digital City,2019,Newsletter,8/2023,https://www.brookings.edu/articles/artificial-intelligence-in-americas-digital-city/
ChatClimate,2023,Newsletter,8/2023,https://arxiv.org/abs/2306.15518
ChatGPT Boosts Productivity 40% For Writing Tasks,2023,Newsletter,8/2023,https://www.searchenginejournal.com/chatgpt-boosts-productivity-40-for-writing-tasks-study/491845/
Shaping Tomorrow's Realities: Exploring the Future Trends of AR and VR,2023,Newsletter,8/2023,https://www.linkedin.com/pulse/future-trends-ar-vr-strivemindz/
The Future of Urban Planning: Smart cities and integrated infrastructure systems,2023,Newsletter,8/2023,https://constructionreviewonline.com/commentary/the-future-of-urban-planning-smart-cities-and-integrated-infrastructure-systems/#google_vignette
ControlNet,2023,Newsletter,8/2023,"https://stable-diffusion-art.com/controlnet/#:~:text=ControlNet%20is%20a%20neural%20network,is%20text%2Dto%2Dimage."
"Americans don’t want AI that’s smarter than humans, a new poll reveals - VoxSatlas",2023,Newsletter,9/2023,https://www.vox.com/future-perfect/2023/9/19/23879648/americans-artificial-general-intelligence-ai-policy-poll
Enter Generative AI: Emergence and Impliacations in Real Estate Capital Markets - Urban Land Magazine,2023,Newsletter,9/2023,https://urbanland.uli.org/economy-markets-trends/enter-generative-ai-emergence-and-implications-in-real-estate-capital-markets/
GOUAI’s Atlas of Urban AI,2023,Newsletter,9/2023,https://gouai.cidob.org/atlas/
IFTF Ten-Year Forecast 2023 - Working Through the Future of AI,2023,Newsletter,9/2023,https://www.iftf.org/events/iftf-ten-year-forecast-2023-changing-the-register-the-future-of-work/
OpenAI’s Dall-E 3 Is an Art Generator Powered by ChatGPT  - WIRED Magazine,2023,Newsletter,9/2023,https://www.wired.com/story/dall-e-3-open-ai-chat-gpt/
"Open data is fine, but sharing more data won’t solve all problems. What you need to do data properly - The Mandarin",2023,Newsletter,9/2023,https://www.themandarin.com.au/117995-when-people-need-specific-data-for-specific-things-freely-open-sharing-your-data-is-not-as-helpful-as-you-might-think-what-you-need-to-do-to-do-data-properly/
Opinion | This Is How A.I. Ruins the Internet - The New York Times,2023,Newsletter,9/2023,https://www.nytimes.com/2023/09/23/opinion/ai-internet-lawsuit.html?smid=nytcore-android-share
Webinar Recap – Working With Overture Data: A Step-by-Step Guide,2023,Newsletter,9/2023,https://overturemaps.org/webinar-recap-working-with-overture-data-a-step-by-step-guide/
